_time,host,EventCode,user,New_Process_ID,New_Process_Name
2016-11-02T13:13:45.000-0700,USEXCH-2,4688,USEXCH-2$,0xef8,C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe
2016-11-02T12:54:47.000-0700,USEXCH-2,4688,USEXCH-2$,0x1630,C:\Program Files\SplunkForwarderForSplunkInc\bin\splunk-regmon.exe
2016-11-02T12:11:47.000-0700,USEXCH-2,4688,USEXCH-2$,0x1514,C:\Program Files\SplunkForwarderForSplunkInc\bin\splunk-netmon.exe
2016-11-01T23:51:57.000-0700,USEXCH-2,4688,USEXCH-2$,0xd34,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winprintmon.exe
2016-11-01T23:46:56.000-0700,USEXCH-1,4688,USEXCH-1$,0xbc4,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winprintmon.exe
2016-11-02T05:07:57.000-0700,USEXCH-2,4688,USEXCH-2$,0xe3c,C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe
2016-11-01T21:52:58.000-0700,USEXCH-2,4688,USEXCH-2$,0xd28,C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe
2016-11-02T13:17:45.000-0700,USEXCH-2,4688,USEXCH-2$,0x658,C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe
2016-11-02T12:22:56.000-0700,USEXCH-1,4688,USEXCH-1$,0x104c,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winprintmon.exe
2016-11-02T00:00:06.000-0700,USEXCH-2,4688,USEXCH-2$,0x1124,C:\Program Files\SplunkForwarderForSplunkInc\bin\splunk-winprintmon.exe
2016-11-02T08:32:45.000-0700,USEXCH-2,4688,USEXCH-2$,0x13f8,C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe
2016-11-02T09:54:48.000-0700,USEXCH-2,4688,USEXCH-2$,0x1004,C:\Program Files\SplunkForwarderForSplunkInc\bin\splunk-netmon.exe
2016-11-02T08:12:16.000-0700,USEXCH-2,4688,USEXCH-2$,0xc48,C:\Program Files\SplunkForwarderForSplunkInc\bin\splunk-winprintmon.exe
2016-11-02T11:33:44.000-0700,USEXCH-2,4688,USEXCH-2$,0x1444,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winprintmon.exe
2016-11-02T12:18:57.000-0700,USEXCH-1,4688,USEXCH-1$,0xb18,C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe
2016-11-02T11:32:56.000-0700,USEXCH-1,4688,USEXCH-1$,0xb20,C:\Windows\System32\cmd.exe
