"_time",host,service,"start_mode",status
"1515415102.860","host_15",wuauserv,Manual,Running
"1515415164.205","host_14",wuauserv,Auto,Running
"1515415339.513","host_6",wuauserv,Manual,Stopped
"1515415638.025","host_3",wuauserv,Manual,Stopped
"1515415905.800","host_4",wuauserv,Auto,Running
"1515416405.315","host_5",wuauserv,Manual,Stopped
"1515416832.203","host_7",wuauserv,Manual,Running
"1515416887.856","host_2",wuauserv,Manual,Running
"1515417171.705","host_9",wuauserv,Auto,Running
"1515417251.624","host_10",wuauserv,Auto,Running
"1515417580.769","host_11",wuauserv,Auto,Running
"1515418020.193","host_13",wuauserv,Manual,Stopped
"1515418152.019","host_8",wuauserv,Auto,Running
"1515418164.123","host_12",wuauserv,Manual,Stopped
"1515418174.835","host_1",wuauserv,Manual,Running
"1515418703.216","host_15",wuauserv,Manual,Running
