"_time","anonymized_git_repo","request_url_hash",user
"1474301497.062","anon_repo_1",291de6c3c3336d7001d5bd36c9148d33,chuck
"1474301496.944","anon_repo_1",22b0b43441e6e5fae6415ac5459c645e,chuck
"1474301496.846","anon_repo_1",d1f4ea218471741bf4d46f43fb56369a,chuck
"1474301496.835","anon_repo_1",eb2ada96cf1b1862ebc153137f908091,chuck
"1474301496.503","anon_repo_1",983deb7a844ec3d4dd3c60bd3551671b,chuck
"1474301496.276","anon_repo_1",291de6c3c3336d7001d5bd36c9148d33,chuck
"1474301495.592","anon_repo_1",cad3e6ba71293d5fc5481fd8813788cf,chuck
"1474304764.336","anon_repo_1",ea032ee2ae7f1ac2359a43e1ec07fc98,chuck
"1474304762.310","anon_repo_1",983deb7a844ec3d4dd3c60bd3551671b,chuck
"1474304761.824","anon_repo_1",2b6bcc988140f4d2b02711b0b10fcf1a,chuck
"1474304548.429","anon_repo_1",22b0b43441e6e5fae6415ac5459c645e,chuck
"1474304548.349","anon_repo_1",d1f4ea218471741bf4d46f43fb56369a,chuck
"1474304548.342","anon_repo_1",eb2ada96cf1b1862ebc153137f908091,chuck
"1474304547.937","anon_repo_1",983deb7a844ec3d4dd3c60bd3551671b,chuck
"1474304547.579","anon_repo_1",cad3e6ba71293d5fc5481fd8813788cf,chuck
"1474301510.065","anon_repo_1",ea032ee2ae7f1ac2359a43e1ec07fc98,chuck
"1474301509.648","anon_repo_1",983deb7a844ec3d4dd3c60bd3551671b,chuck
"1474301509.016","anon_repo_1",9eb074e76bbede0b2d30ad8f4b648a67,chuck
"1474301505.579","anon_repo_1",22b0b43441e6e5fae6415ac5459c645e,chuck
"1474301505.527","anon_repo_1",5767e5faedce604186128080bafaa21e,chuck
"1474301505.477","anon_repo_1",d1f4ea218471741bf4d46f43fb56369a,chuck
"1474301505.363","anon_repo_1",8be883d1c0b67a81c75fb315da7fec4d,chuck
"1474301505.130","anon_repo_1",983deb7a844ec3d4dd3c60bd3551671b,chuck
"1474301504.451","anon_repo_1",5767e5faedce604186128080bafaa21e,chuck
"1474301502.241","anon_repo_1",d3081ac985c93187ff9022d31a7c5255,chuck
"1474304751.462","anon_repo_1",22b0b43441e6e5fae6415ac5459c645e,chuck
"1474304751.435","anon_repo_1",d1f4ea218471741bf4d46f43fb56369a,chuck
