"_time",Computer,Image,ProcessId,TargetFilename,CreationUtcTime,PreviousCreationUtcTime
"2016-08-24T17:17:17.000+0000","we8105desk.waynecorpinc.local","C:\Program Files (x86)\Internet Explorer\iexplore.exe",2404,"C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\J74ZLCQXW19IE8UTP2ZF.temp","2016-08-16 20:58:37.142","2016-08-24 17:17:17.228"
"2016-08-24T17:15:11.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\Shiel.TEx","1602-05-15 14:07:01.334","1991-07-11 07:00:00.000"
"2016-08-24T17:15:06.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\work_stuff\017\017682.html","1602-05-15 14:07:01.334","2016-08-24 15:08:38.008"
"2016-08-24T17:14:23.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\work_stuff\017\017444.html","1602-05-15 14:07:01.334","2016-08-24 15:08:37.993"
"2016-08-24T17:12:47.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\work_stuff\011\011443.pdf","1602-05-15 14:07:01.334","2016-08-24 15:08:37.759"
"2016-08-24T17:10:06.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\work_stuff\013\013366.pdf","1602-05-15 14:07:01.334","2016-08-24 15:08:37.806"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Access.en-us\Access.en-us\AccessMUI.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:16.286"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Access.en-us\AccessMUISet.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:16.192"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Access.en-us\setup.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:16.192"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Updates\README.TXT","1602-05-15 14:07:01.334","2016-08-16 16:33:39.343"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Excel.en-us\ExcelMUI.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:21.091"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Proofing.en-us\Proof.en\Proof.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:35.942"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Office.en-us\OfficeMUI.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:22.557"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\PowerPoint.en-us\PowerPointMUI.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:23.618"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Office.en-us\branding.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:21.138"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Outlook.en-us\setup.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:23.493"
"2016-08-24T17:10:01.000+0000","we8105desk.waynecorpinc.local","C:\Users\bob.smith.WAYNECORPINC\AppData\Roaming\{35ACA89F-933F-6A5D-2776-A3589FB99832}\osk.exe",3588,"C:\Users\bob.smith.WAYNECORPINC\Desktop\Office\Word.en-us\setup.xml","1602-05-15 14:07:01.334","2016-08-16 16:33:39.359"
